Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-12-05,24.698,25.778,24.698,25.625,2470301
2016-12-06,25.701,26.447,25.625,25.988,5360139
2016-12-07,25.949,26.924,25.931,26.695,6048533
2016-12-08,26.943,27.096,26.045,26.943,5480387
2016-12-09,26.838,26.963,26.016,26.084,4080394
2016-12-12,26.026,26.055,25.558,25.749,3132666
2016-12-13,25.768,26.791,25.749,26.657,3922395
2016-12-14,26.657,26.991,26.332,26.905,3433488
2016-12-15,26.752,26.838,26.408,26.58,1422332
2016-12-16,26.542,26.838,26.236,26.561,5251213
2016-12-19,26.198,26.8,25.998,26.704,2291134
2016-12-20,26.828,27.183,26.714,26.733,1617472
2016-12-21,26.752,26.972,26.236,26.379,1529725
2016-12-22,26.341,27.038,26.055,27.038,1361644
2016-12-23,26.81,27.163,26.599,26.895,1305913
2016-12-27,26.761,26.905,26.685,26.743,510943
2016-12-28,26.752,26.991,26.447,26.657,1156418
2016-12-29,26.743,26.914,26.523,26.733,780848
2016-12-30,26.761,27.115,26.618,26.886,797113
2017-01-02,26.8,27.077,26.618,26.991,629142
2017-01-03,27.048,28.615,27.048,28.5,3706844
2017-01-04,28.519,29.045,28.462,29.045,5695003
2017-01-05,28.864,29.188,28.692,28.949,2899322
2017-01-09,28.949,29.159,28.749,29.141,1982831
2017-01-10,28.988,29.609,28.949,28.949,2285108
2017-01-11,29.035,29.571,28.788,29.428,3015651
2017-01-12,29.379,29.523,28.749,28.749,2152784
